 0.60,  0.06
 0.90,  0.21
 0.93,  0.21
 1.06,  0.24
 1.30,  0.29
 1.52,  0.27
 1.58,  0.16
 1.69,  0.34
 1.75,  0.37
 1.83,  0.35
 1.94,  0.37
 2.00,  0.36
 2.03,  0.42
 2.18,  0.46
 2.22,  0.32
 2.22,  0.45
 2.22,  0.47
 2.22,  0.46
 2.27,  0.45
 2.28,  0.41
 2.29,  0.40
 2.31,  0.40
 2.35,  0.42
 2.38,  0.46
 2.39,  0.45
 2.43,  0.51
 2.53,  0.49
 2.55,  0.52
 2.57,  0.50
 2.60,  0.55
 2.60,  0.54
 2.61,  0.46
 2.62,  0.46
 2.62,  0.49
 2.62,  0.51
 2.62,  0.54
 2.67,  0.62
 2.68,  0.51
 2.72,  0.53
 2.73,  0.46
 2.74,  0.60
 2.74,  0.48
 2.75,  0.50
 2.76,  0.59
 2.79,  0.47
 2.83,  0.59
 2.84,  0.45
 2.84,  0.51
 2.92,  0.50
 2.94,  0.54
 2.96,  0.47
 2.96,  0.59
 3.05,  0.48
 3.08,  0.50
 3.08,  0.61
 3.33,  0.61
 3.33,  0.60
 3.33,  0.67
 3.36,  0.63
 3.36,  0.62
 3.37,  0.60
 3.42,  0.57
 3.47,  0.63
 3.49,  0.48
 3.49,  0.61
 3.50,  0.63
 3.51,  0.64
 3.51,  0.63
 3.54,  0.66
 3.63,  0.71
 3.74,  0.76
 3.77,  0.69
 3.77,  0.68
 3.80,  0.74
 3.83,  0.59
 3.85,  0.70
 3.87,  0.63
 3.87,  0.70
 3.90,  0.74
 3.93,  0.65
 3.93,  0.66
 3.98,  0.68
 3.98,  0.68
 4.02,  0.67
 4.13,  0.73
 4.20,  0.77
 4.20,  0.80
 4.20,  0.70
 4.20,  0.78
 4.27,  0.67
 4.35,  0.78
 4.35,  0.68
 4.39,  0.86
 4.41,  0.73
 4.48,  0.80
 4.55,  0.77
 4.75,  0.77
 4.89,  0.78
 5.34,  0.86
 5.45,  0.89
